Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1973","1973","1000 US$","7720","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1974","1974","1000 US$","10722","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1975","1975","1000 US$","8198","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1976","1976","1000 US$","7567","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1977","1977","1000 US$","4202","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1978","1978","1000 US$","592","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1979","1979","1000 US$","306","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1980","1980","1000 US$","8839","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1981","1981","1000 US$","396","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1982","1982","1000 US$","3294","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1983","1983","1000 US$","90","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1984","1984","1000 US$","75","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1985","1985","1000 US$","597","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1986","1986","1000 US$","697","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1987","1987","1000 US$","767","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1988","1988","1000 US$","10244","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1989","1989","1000 US$","519","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1990","1990","1000 US$","456","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1991","1991","1000 US$","781","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1992","1992","1000 US$","761","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1993","1993","1000 US$","6864","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1994","1994","1000 US$","8783","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1995","1995","1000 US$","8053","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1996","1996","1000 US$","19853","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1997","1997","1000 US$","10657","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1998","1998","1000 US$","10100","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","1999","1999","1000 US$","9320","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2000","2000","1000 US$","18247","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2001","2001","1000 US$","10793","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2002","2002","1000 US$","11200","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2003","2003","1000 US$","12928","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2004","2004","1000 US$","16359","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2005","2005","1000 US$","17173","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2006","2006","1000 US$","22127","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2007","2007","1000 US$","36069","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2008","2008","1000 US$","48176","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2009","2009","1000 US$","36981","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2010","2010","1000 US$","24213","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2011","2011","1000 US$","48414","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2012","2012","1000 US$","48636","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2013","2013","1000 US$","55805","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2014","2014","1000 US$","52400","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2015","2015","1000 US$","37494","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2016","2016","1000 US$","30792","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2017","2017","1000 US$","33660","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2018","2018","1000 US$","38781","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2019","2019","1000 US$","49054","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2020","2020","1000 US$","57976","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","0115","Barley","2021","2021","1000 US$","45493","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1961","1961","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1962","1962","tonnes","1800","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1963","1963","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1964","1964","tonnes","330","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1965","1965","tonnes","411","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1966","1966","tonnes","26","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1967","1967","tonnes","21","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1968","1968","tonnes","7","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1969","1969","tonnes","12","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1970","1970","tonnes","14","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1971","1971","tonnes","15","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1972","1972","tonnes","17","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1973","1973","tonnes","6152","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1974","1974","tonnes","422","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1975","1975","tonnes","592","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1976","1976","tonnes","187","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1977","1977","tonnes","852","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1978","1978","tonnes","148","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1979","1979","tonnes","57270","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1980","1980","tonnes","8344","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1981","1981","tonnes","41196","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1982","1982","tonnes","101131","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1983","1983","tonnes","23364","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1984","1984","tonnes","269028","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1985","1985","tonnes","67434","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1986","1986","tonnes","192938","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1987","1987","tonnes","34301","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1988","1988","tonnes","103961","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1989","1989","tonnes","252976","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1990","1990","tonnes","315224","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1991","1991","tonnes","65691","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1992","1992","tonnes","320526","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1993","1993","tonnes","182087","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1994","1994","tonnes","179874","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1995","1995","tonnes","223195","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1996","1996","tonnes","135360","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1997","1997","tonnes","95666","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1998","1998","tonnes","102019","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","1999","1999","tonnes","447645","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2000","2000","tonnes","260576","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2001","2001","tonnes","101838","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2002","2002","tonnes","74539","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2003","2003","tonnes","62998","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2004","2004","tonnes","63956","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2005","2005","tonnes","86667","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2006","2006","tonnes","158183","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2007","2007","tonnes","76926","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2008","2008","tonnes","51072","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2009","2009","tonnes","66650","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2010","2010","tonnes","82642","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2011","2011","tonnes","70650","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2012","2012","tonnes","75722","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2013","2013","tonnes","77593","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2014","2014","tonnes","43078.39","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2015","2015","tonnes","112050.37","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2016","2016","tonnes","115194.25","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2017","2017","tonnes","118299.78","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2018","2018","tonnes","90778.59","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2019","2019","tonnes","52704.89","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2020","2020","tonnes","86518.89","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","0115","Barley","2021","2021","tonnes","87443.02","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1961","1961","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1962","1962","1000 US$","250","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1963","1963","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1964","1964","1000 US$","41","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1965","1965","1000 US$","58","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1966","1966","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1967","1967","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1968","1968","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1969","1969","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1970","1970","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1971","1971","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1972","1972","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1973","1973","1000 US$","737","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1974","1974","1000 US$","93","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1975","1975","1000 US$","158","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1976","1976","1000 US$","55","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1977","1977","1000 US$","293","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1978","1978","1000 US$","53","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1979","1979","1000 US$","7671","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1980","1980","1000 US$","2144","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1981","1981","1000 US$","7674","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1982","1982","1000 US$","12609","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1983","1983","1000 US$","4106","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1984","1984","1000 US$","35663","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1985","1985","1000 US$","6247","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1986","1986","1000 US$","16494","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1987","1987","1000 US$","2175","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1988","1988","1000 US$","10638","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1989","1989","1000 US$","31411","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1990","1990","1000 US$","31394","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1991","1991","1000 US$","6328","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1992","1992","1000 US$","28195","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1993","1993","1000 US$","18343","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1994","1994","1000 US$","15544","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1995","1995","1000 US$","34373","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1996","1996","1000 US$","19322","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1997","1997","1000 US$","16012","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1998","1998","1000 US$","12771","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","1999","1999","1000 US$","44845","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2000","2000","1000 US$","33064","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2001","2001","1000 US$","14744","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2002","2002","1000 US$","10447","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2003","2003","1000 US$","11652","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2004","2004","1000 US$","12596","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2005","2005","1000 US$","14261","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2006","2006","1000 US$","25345","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2007","2007","1000 US$","22680","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2008","2008","1000 US$","17753","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2009","2009","1000 US$","16078","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2010","2010","1000 US$","17175","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2011","2011","1000 US$","24387","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2012","2012","1000 US$","26678","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2013","2013","1000 US$","26380","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","0115","Barley","2014","2014","1000 US$","13272","A","Official figure"
