EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station REDHILL, UNITED KINGDOM (STAID: 22586)
Blended and updated with sources:121534 121536 121586 903780 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
 22586,121586,19890319,   20,    0
 22586,121586,19890320,  128,    0
 22586,121586,19890321,   26,    0
 22586,121586,19890322,    6,    0
 22586,121586,19890323,   10,    0
 22586,121586,19890324,   16,    0
 22586,121586,19890325,    0,    0
 22586,121586,19890326,    0,    0
 22586,121586,19890327,    0,    0
 22586,121586,19890328,    0,    0
 22586,121586,19890329,    0,    0
 22586,121586,19890330,    0,    0
 22586,121586,19890331,    0,    0
 22586,121586,19890401,    8,    0
 22586,121586,19890402,   36,    0
 22586,121586,19890403,    0,    0
 22586,121586,19890404,   22,    0
 22586,121586,19890405,  150,    0
 22586,121586,19890406,   16,    0
 22586,121586,19890407,   52,    0
 22586,121586,19890408,    2,    0
 22586,121586,19890409,   10,    0
 22586,121586,19890410,   10,    0
 22586,121586,19890411,  194,    0
 22586,121586,19890412,   10,    0
 22586,121586,19890413,    0,    0
 22586,121586,19890414,    0,    0
 22586,121586,19890415,    2,    0
 22586,121586,19890416,   36,    0
 22586,121586,19890417,    0,    0
 22586,121586,19890418,    0,    0
 22586,121586,19890419,    0,    0
 22586,121586,19890420,   16,    0
 22586,121586,19890421,   10,    0
 22586,121586,19890422,    2,    0
 22586,121586,19890423,   26,    0
 22586,121586,19890424,   46,    0
 22586,121586,19890425,   16,    0
 22586,121586,19890426,    0,    0
 22586,121586,19890427,  122,    0
 22586,121586,19890428,    0,    0
 22586,121586,19890429,    8,    0
 22586,121586,19890430,    2,    0
 22586,121586,19890501,    6,    0
 22586,121586,19890502,    0,    0
 22586,121586,19890503,    2,    0
 22586,121586,19890504,    0,    0
 22586,121586,19890505,    0,    0
 22586,121586,19890506,    0,    0
 22586,121586,19890507,    0,    0
 22586,121586,19890508,    0,    0
 22586,121586,19890509,    0,    0
 22586,121586,19890510,    0,    0
 22586,121586,19890511,   10,    0
 22586,121586,19890512,    6,    0
 22586,121586,19890513,    4,    0
 22586,121586,19890514,    2,    0
 22586,121586,19890515,    0,    0
 22586,121586,19890516,    0,    0
 22586,121586,19890517,    0,    0
 22586,121586,19890518,    0,    0
 22586,121586,19890519,    0,    0
 22586,121586,19890520,    0,    0
 22586,121586,19890521,    0,    0
 22586,121586,19890522,    0,    0
 22586,121586,19890523,    0,    0
 22586,121586,19890524,    0,    0
 22586,121586,19890525,    0,    0
 22586,121586,19890526,    0,    0
 22586,121586,19890527,    0,    0
 22586,121586,19890528,    0,    0
 22586,121586,19890529,    0,    0
 22586,121586,19890530,    0,    0
 22586,121586,19890531,    0,    0
 22586,121586,19890601,  298,    0
 22586,121586,19890602,    4,    0
 22586,121586,19890603,    0,    0
 22586,121586,19890604,    0,    0
 22586,121586,19890605,   10,    0
 22586,121586,19890606,  146,    0
 22586,121586,19890607,   46,    0
 22586,121586,19890608,    2,    0
 22586,121586,19890609,    2,    0
 22586,121586,19890610,    0,    0
 22586,121586,19890611,    0,    0
 22586,121586,19890612,    0,    0
 22586,121586,19890613,    0,    0
 22586,121586,19890614,   68,    0
 22586,121586,19890615,    0,    0
 22586,121586,19890616,    0,    0
 22586,121586,19890617,    0,    0
 22586,121586,19890618,    0,    0
 22586,121586,19890619,    0,    0
 22586,121586,19890620,    0,    0
 22586,121586,19890621,    0,    0
 22586,121586,19890622,    0,    0
 22586,121586,19890623,    0,    0
 22586,121586,19890624,    0,    0
 22586,121586,19890625,    0,    0
 22586,121586,19890626,-9999,    9
 22586,121586,19890627,   54,    0
 22586,121586,19890628,    6,    0
 22586,121586,19890629,   72,    0
 22586,121586,19890630,    0,    0
 22586,121586,19890701,    0,    0
 22586,121586,19890702,    0,    0
 22586,121586,19890703,    0,    0
 22586,121586,19890704,    0,    0
 22586,121586,19890705,    0,    0
 22586,121586,19890706,    6,    0
 22586,121586,19890707,   62,    0
 22586,121586,19890708,   54,    0
 22586,121586,19890709,    0,    0
 22586,121586,19890710,    0,    0
 22586,121586,19890711,    0,    0
 22586,121586,19890712,    2,    0
 22586,121586,19890713,    0,    0
 22586,121586,19890714,    0,    0
 22586,121586,19890715,    0,    0
 22586,121586,19890716,    0,    0
 22586,121586,19890717,    0,    0
 22586,121586,19890718,    0,    0
 22586,121586,19890719,    0,    0
 22586,121586,19890720,    0,    0
 22586,121586,19890721,    0,    0
 22586,121586,19890722,   30,    0
 22586,121586,19890723,    0,    0
 22586,121586,19890724,    0,    0
 22586,121586,19890725,    0,    0
 22586,121586,19890726,    0,    0
 22586,121586,19890727,    0,    0
 22586,121586,19890728,    0,    0
 22586,121586,19890729,    0,    0
 22586,121586,19890730,   24,    0
 22586,121586,19890731,    4,    0
 22586,121586,19890801,    0,    0
 22586,121586,19890802,    0,    0
 22586,121586,19890803,    0,    0
 22586,121586,19890804,    0,    0
 22586,121586,19890805,    0,    0
 22586,121586,19890806,    0,    0
 22586,121586,19890807,    0,    0
 22586,121586,19890808,    0,    0
 22586,121586,19890809,    0,    0
 22586,121586,19890810,   38,    0
 22586,121586,19890811,   20,    0
 22586,121586,19890812,    0,    0
 22586,121586,19890813,   12,    0
 22586,121586,19890814,   74,    0
 22586,121586,19890815,   48,    0
 22586,121586,19890816,    8,    0
 22586,121586,19890817,   30,    0
 22586,121586,19890818,    2,    0
 22586,121586,19890819,    0,    0
 22586,121586,19890820,    0,    0
 22586,121586,19890821,    0,    0
 22586,121586,19890822,    0,    0
 22586,121586,19890823,    0,    0
 22586,121586,19890824,    0,    0
 22586,121586,19890825,   36,    0
 22586,121586,19890826,   16,    0
 22586,121586,19890827,-9999,    9
 22586,121586,19890828,-9999,    9
 22586,121586,19890829,-9999,    9
 22586,121586,19890830,-9999,    9
 22586,121586,19890831,-9999,    9
 22586,121586,19890901,-9999,    9
 22586,121586,19890902,    0,    0
 22586,121586,19890903,    0,    0
 22586,121586,19890904,    0,    0
 22586,121586,19890905,    0,    0
 22586,121586,19890906,    0,    0
 22586,121586,19890907,    0,    0
 22586,121586,19890908,    0,    0
 22586,121586,19890909,    2,    0
 22586,121586,19890910,   44,    0
 22586,121586,19890911,    0,    0
 22586,121586,19890912,    2,    0
 22586,121586,19890913,    0,    0
 22586,121586,19890914,   94,    0
 22586,121586,19890915,   12,    0
 22586,121586,19890916,   14,    0
 22586,121586,19890917,    0,    0
 22586,121586,19890918,    2,    0
 22586,121586,19890919,    6,    0
 22586,121586,19890920,    2,    0
 22586,121586,19890921,    0,    0
 22586,121586,19890922,   10,    0
 22586,121586,19890923,    0,    0
 22586,121586,19890924,    0,    0
 22586,121586,19890925,    2,    0
 22586,121586,19890926,    0,    0
 22586,121586,19890927,    8,    0
 22586,121586,19890928,    0,    0
 22586,121586,19890929,    0,    0
 22586,121586,19890930,    0,    0
 22586,121586,19891001,    0,    0
 22586,121586,19891002,    0,    0
 22586,121586,19891003,    0,    0
 22586,121586,19891004,    0,    0
 22586,121586,19891005,   42,    0
 22586,121586,19891006,    2,    0
 22586,121586,19891007,   38,    0
 22586,121586,19891008,    0,    0
 22586,121586,19891009,    8,    0
 22586,121586,19891010,    0,    0
 22586,121586,19891011,    4,    0
 22586,121586,19891012,    0,    0
 22586,121586,19891013,    8,    0
 22586,121586,19891014,    0,    0
 22586,121586,19891015,    0,    0
 22586,121586,19891016,    2,    0
 22586,121586,19891017,    2,    0
 22586,121586,19891018,    0,    0
 22586,121586,19891019,   80,    0
 22586,121586,19891020,  136,    0
 22586,121586,19891021,   80,    0
 22586,121586,19891022,    4,    0
 22586,121586,19891023,   46,    0
 22586,121586,19891024,    2,    0
 22586,121586,19891025,    0,    0
 22586,121586,19891026,   14,    0
 22586,121586,19891027,    0,    0
 22586,121586,19891028,  124,    0
 22586,121586,19891029,   82,    0
 22586,121586,19891030,   12,    0
 22586,121586,19891031,   76,    0
 22586,121586,19891101,    4,    0
 22586,121586,19891102,  134,    0
 22586,121586,19891103,    2,    0
 22586,121586,19891104,   36,    0
 22586,121586,19891105,    4,    0
 22586,121586,19891106,    0,    0
 22586,121586,19891107,    2,    0
 22586,121586,19891108,   82,    0
 22586,121586,19891109,   78,    0
 22586,121586,19891110,   22,    0
 22586,121586,19891111,    0,    0
 22586,121586,19891112,    4,    0
 22586,121586,19891113,    2,    0
 22586,121586,19891114,    2,    0
 22586,121586,19891115,    2,    0
 22586,121586,19891116,    0,    0
 22586,121586,19891117,    0,    0
 22586,121586,19891118,    0,    0
 22586,121586,19891119,    2,    0
 22586,121586,19891120,    0,    0
 22586,121586,19891121,    2,    0
 22586,121586,19891122,    0,    0
 22586,121586,19891123,    2,    0
 22586,121586,19891124,    2,    0
 22586,121586,19891125,    0,    0
 22586,121586,19891126,    0,    0
 22586,121586,19891127,    2,    0
 22586,121586,19891128,    0,    0
 22586,121586,19891129,    2,    0
 22586,121586,19891130,    2,    0
 22586,121586,19891201,    4,    0
 22586,121586,19891202,    0,    0
 22586,121586,19891203,    2,    0
 22586,121586,19891204,    0,    0
 22586,121586,19891205,    0,    0
 22586,121586,19891206,    0,    0
 22586,121586,19891207,    0,    0
 22586,121586,19891208,    2,    0
 22586,121586,19891209,    4,    0
 22586,121586,19891210,    6,    0
 22586,121586,19891211,   14,    0
 22586,121586,19891212,   32,    0
 22586,121586,19891213,  110,    0
 22586,121586,19891214,  196,    0
 22586,121586,19891215,   96,    0
 22586,121586,19891216,  168,    0
 22586,121586,19891217,   76,    0
 22586,121586,19891218,   74,    0
 22586,121586,19891219,   68,    0
 22586,121586,19891220,  278,    0
 22586,121586,19891221,   20,    0
 22586,121586,19891222,    0,    0
 22586,121586,19891223,  106,    0
 22586,121586,19891224,   38,    0
 22586,121586,19891225,  100,    0
 22586,121586,19891226,    2,    0
 22586,121586,19891227,    0,    0
 22586,121586,19891228,    0,    0
 22586,121586,19891229,    0,    0
 22586,121586,19891230,    0,    0
 22586,121586,19891231,    0,    0
 22586,121586,19900101,    8,    0
 22586,121586,19900102,    2,    0
 22586,121586,19900103,    0,    0
 22586,121586,19900104,    0,    0
 22586,121586,19900105,    4,    0
 22586,121586,19900106,  184,    0
 22586,121586,19900107,   16,    0
 22586,121586,19900108,   22,    0
 22586,121586,19900109,    2,    0
 22586,121586,19900110,    4,    0
 22586,121586,19900111,    0,    0
 22586,121586,19900112,   40,    0
 22586,121586,19900113,    4,    0
 22586,121586,19900114,   14,    0
 22586,121586,19900115,    6,    0
 22586,121586,19900116,    0,    0
 22586,121586,19900117,   10,    0
 22586,121586,19900118,    2,    0
 22586,121586,19900119,   40,    0
 22586,121586,19900120,    4,    0
 22586,121586,19900121,   28,    0
 22586,121586,19900122,   40,    0
 22586,121586,19900123,   94,    0
 22586,121586,19900124,   26,    0
 22586,121586,19900125,   82,    0
 22586,121586,19900126,    6,    0
 22586,121586,19900127,   52,    0
 22586,121586,19900128,   24,    0
 22586,121586,19900129,  148,    0
 22586,121586,19900130,  116,    0
 22586,121586,19900131,  216,    0
 22586,121586,19900201,  160,    0
 22586,121586,19900202,   28,    0
 22586,121586,19900203,  220,    0
 22586,121586,19900204,    2,    0
 22586,121586,19900205,    0,    0
 22586,121586,19900206,    6,    0
 22586,121586,19900207,  246,    0
 22586,121586,19900208,   14,    0
 22586,121586,19900209,    0,    0
 22586,121586,19900210,   94,    0
 22586,121586,19900211,  118,    0
 22586,121586,19900212,    0,    0
 22586,121586,19900213,   48,    0
 22586,121586,19900214,   96,    0
 22586,121586,19900215,   18,    0
 22586,121586,19900216,    0,    0
 22586,121586,19900217,   22,    0
 22586,121586,19900218,    0,    0
 22586,121586,19900219,   10,    0
 22586,121586,19900220,    4,    0
 22586,121586,19900221,   26,    0
 22586,121586,19900222,    0,    0
 22586,121586,19900223,    0,    0
 22586,121586,19900224,    0,    0
 22586,121586,19900225,   88,    0
 22586,121586,19900226,   76,    0
 22586,121586,19900227,   16,    0
 22586,121586,19900228,   38,    0
 22586,121586,19900301,   10,    0
 22586,121586,19900302,    0,    0
 22586,121586,19900303,    0,    0
 22586,121586,19900304,    0,    0
 22586,121586,19900305,    0,    0
 22586,121586,19900306,    0,    0
 22586,121586,19900307,    0,    0
 22586,121586,19900308,    0,    0
 22586,121586,19900309,    0,    0
 22586,121586,19900310,    0,    0
 22586,121586,19900311,    0,    0
 22586,121586,19900312,    0,    0
 22586,121586,19900313,    0,    0
 22586,121586,19900314,    0,    0
 22586,121586,19900315,    2,    0
 22586,121586,19900316,    2,    0
 22586,121586,19900317,    0,    0
 22586,121586,19900318,    0,    0
 22586,121586,19900319,   22,    0
 22586,121586,19900320,    2,    0
 22586,121586,19900321,    2,    0
 22586,121586,19900322,    6,    0
 22586,121586,19900323,    0,    0
 22586,121586,19900324,    6,    0
 22586,121586,19900325,   14,    0
 22586,121586,19900326,    0,    0
 22586,121586,19900327,    0,    0
 22586,121586,19900328,    0,    0
 22586,121586,19900329,    0,    0
 22586,121586,19900330,    0,    0
 22586,121586,19900331,    2,    0
 22586,121586,19900401,    0,    0
 22586,121586,19900402,   92,    0
 22586,121586,19900403,   52,    0
 22586,121586,19900404,    2,    0
 22586,121586,19900405,    0,    0
 22586,121586,19900406,    0,    0
 22586,121586,19900407,    0,    0
 22586,121586,19900408,    0,    0
 22586,121586,19900409,    0,    0
 22586,121586,19900410,    0,    0
 22586,121586,19900411,    0,    0
 22586,121586,19900412,    0,    0
 22586,121586,19900413,  114,    0
 22586,121586,19900414,   48,    0
 22586,121586,19900415,    6,    0
 22586,121586,19900416,   20,    0
 22586,121586,19900417,    4,    0
 22586,121586,19900418,    2,    0
 22586,121586,19900419,   34,    0
 22586,121586,19900420,   30,    0
 22586,121586,19900421,    8,    0
 22586,121586,19900422,   20,    0
 22586,121586,19900423,    0,    0
 22586,121586,19900424,    0,    0
 22586,121586,19900425,    0,    0
 22586,121586,19900426,   10,    0
 22586,121586,19900427,    0,    0
 22586,121586,19900428,    0,    0
 22586,121586,19900429,    0,    0
 22586,121586,19900430,    0,    0
 22586,121586,19900501,    0,    0
 22586,121586,19900502,    2,    0
 22586,121586,19900503,    0,    0
 22586,121586,19900504,    0,    0
 22586,121586,19900505,    0,    0
 22586,121586,19900506,    0,    0
 22586,121586,19900507,    0,    0
 22586,121586,19900508,    0,    0
 22586,121586,19900509,    6,    0
 22586,121586,19900510,   74,    0
 22586,121586,19900511,    2,    0
 22586,121586,19900512,    0,    0
 22586,121586,19900513,    0,    0
 22586,121586,19900514,    0,    0
 22586,121586,19900515,    0,    0
 22586,121586,19900516,    0,    0
 22586,121586,19900517,    2,    0
 22586,121586,19900518,    0,    0
 22586,121586,19900519,    0,    0
 22586,121586,19900520,    0,    0
 22586,121586,19900521,    0,    0
 22586,121586,19900522,    0,    0
 22586,121586,19900523,    0,    0
 22586,121586,19900524,    0,    0
 22586,121586,19900525,    0,    0
 22586,121586,19900526,    0,    0
 22586,121586,19900527,    0,    0
 22586,121586,19900528,    0,    0
 22586,121586,19900529,    0,    0
 22586,121586,19900530,    0,    0
 22586,121586,19900531,    2,    0
 22586,121586,19900601,   22,    0
 22586,121586,19900602,    0,    0
 22586,121586,19900603,   40,    0
 22586,121586,19900604,    0,    0
 22586,121586,19900605,    4,    0
 22586,121586,19900606,   86,    0
 22586,121586,19900607,   18,    0
 22586,121586,19900608,   26,    0
 22586,121586,19900609,    0,    0
 22586,121586,19900610,    4,    0
 22586,121586,19900611,    0,    0
 22586,121586,19900612,    0,    0
 22586,121586,19900613,    0,    0
 22586,121586,19900614,    0,    0
 22586,121586,19900615,    0,    0
 22586,121586,19900616,    0,    0
 22586,121586,19900617,    0,    0
 22586,121586,19900618,   64,    0
 22586,121586,19900619,    0,    0
 22586,121586,19900620,    8,    0
 22586,121586,19900621,  162,    0
 22586,121586,19900622,   96,    0
 22586,121586,19900623,    2,    0
 22586,121586,19900624,    0,    0
 22586,121586,19900625,    0,    0
 22586,121586,19900626,    0,    0
 22586,121586,19900627,    0,    0
 22586,121586,19900628,    2,    0
 22586,121586,19900629,    0,    0
 22586,121586,19900630,   52,    0
 22586,121586,19900701,   44,    0
 22586,121586,19900702,    0,    0
 22586,121586,19900703,    0,    0
 22586,121586,19900704,   72,    0
 22586,121586,19900705,    6,    0
 22586,121586,19900706,    0,    0
 22586,121586,19900707,    6,    0
 22586,121586,19900708,    0,    0
 22586,121586,19900709,    0,    0
 22586,121586,19900710,    0,    0
 22586,121586,19900711,    0,    0
 22586,121586,19900712,    0,    0
 22586,121586,19900713,    0,    0
 22586,121586,19900714,    0,    0
 22586,121586,19900715,    0,    0
 22586,121586,19900716,    0,    0
 22586,121586,19900717,    0,    0
 22586,121586,19900718,    0,    0
 22586,121586,19900719,    0,    0
 22586,121586,19900720,    0,    0
 22586,121586,19900721,    0,    0
 22586,121586,19900722,    0,    0
 22586,121586,19900723,    0,    0
 22586,121586,19900724,    0,    0
 22586,121586,19900725,    0,    0
 22586,121586,19900726,    0,    0
 22586,121586,19900727,    0,    0
 22586,121586,19900728,    0,    0
 22586,121586,19900729,    0,    0
 22586,121586,19900730,    0,    0
 22586,121586,19900731,    0,    0
 22586,121586,19900801,    0,    0
 22586,121586,19900802,    0,    0
 22586,121586,19900803,    0,    0
 22586,121586,19900804,    0,    0
 22586,121586,19900805,    0,    0
 22586,121586,19900806,    0,    0
 22586,121586,19900807,    0,    0
 22586,121586,19900808,    0,    0
 22586,121586,19900809,    0,    0
 22586,121586,19900810,    0,    0
 22586,121586,19900811,    0,    0
 22586,121586,19900812,    0,    0
 22586,121586,19900813,    0,    0
 22586,121586,19900814,    0,    0
 22586,121586,19900815,   22,    0
 22586,121586,19900816,   14,    0
 22586,121586,19900817,   18,    0
 22586,121586,19900818,   32,    0
 22586,121586,19900819,  154,    0
 22586,121586,19900820,    4,    0
 22586,121586,19900821,    0,    0
 22586,121586,19900822,    0,    0
 22586,121586,19900823,    0,    0
 22586,121586,19900824,    0,    0
 22586,121586,19900825,    0,    0
 22586,121586,19900826,    0,    0
 22586,121586,19900827,    0,    0
 22586,121586,19900828,    0,    0
 22586,121586,19900829,  144,    0
 22586,121586,19900830,    0,    0
 22586,121586,19900831,    2,    0
 22586,121586,19900901,    0,    0
 22586,121586,19900902,    0,    0
 22586,121586,19900903,   34,    0
 22586,121586,19900904,    0,    0
 22586,121586,19900905,   28,    0
 22586,121586,19900906,    8,    0
 22586,121586,19900907,    0,    0
 22586,121586,19900908,    0,    0
 22586,121586,19900909,    0,    0
 22586,121586,19900910,    0,    0
 22586,121586,19900911,    0,    0
 22586,121586,19900912,    0,    0
 22586,121586,19900913,    2,    0
 22586,121586,19900914,    0,    0
 22586,121586,19900915,    0,    0
 22586,121586,19900916,    0,    0
 22586,121586,19900917,    2,    0
 22586,121586,19900918,    2,    0
 22586,121586,19900919,    6,    0
 22586,121586,19900920,    0,    0
 22586,121586,19900921,    4,    0
 22586,121586,19900922,   22,    0
 22586,121586,19900923,   44,    0
 22586,121586,19900924,   14,    0
 22586,121586,19900925,    0,    0
 22586,121586,19900926,    0,    0
 22586,121586,19900927,    2,    0
 22586,121586,19900928,    0,    0
 22586,121586,19900929,  174,    0
 22586,121586,19900930,   62,    0
 22586,121586,19901001,    0,    0
 22586,121586,19901002,    0,    0
 22586,121586,19901003,   56,    0
 22586,121586,19901004,    0,    0
 22586,121586,19901005,   28,    0
 22586,121586,19901006,   14,    0
 22586,121586,19901007,    0,    0
 22586,121586,19901008,    2,    0
 22586,121586,19901009,    0,    0
 22586,121586,19901010,    2,    0
 22586,121586,19901011,    0,    0
 22586,121586,19901012,    2,    0
 22586,121586,19901013,    0,    0
 22586,121586,19901014,    0,    0
 22586,121586,19901015,   92,    0
 22586,121586,19901016,    2,    0
 22586,121586,19901017,    0,    0
 22586,121586,19901018,  102,    0
 22586,121586,19901019,    0,    0
 22586,121586,19901020,    0,    0
 22586,121586,19901021,    0,    0
 22586,121586,19901022,    0,    0
 22586,121586,19901023,    0,    0
 22586,121586,19901024,   66,    0
 22586,121586,19901025,   28,    0
 22586,121586,19901026,  164,    0
 22586,121586,19901027,  100,    0
 22586,121586,19901028,  156,    0
 22586,121586,19901029,   26,    0
 22586,121586,19901030,    2,    0
 22586,121586,19901031,    2,    0
 22586,121586,19901101,    8,    0
 22586,121586,19901102,   10,    0
 22586,121586,19901103,    0,    0
 22586,121586,19901104,    2,    0
 22586,121586,19901105,    0,    0
 22586,121586,19901106,    0,    0
 22586,121586,19901107,    0,    0
 22586,121586,19901108,    2,    0
 22586,121586,19901109,    4,    0
 22586,121586,19901110,   24,    0
 22586,121586,19901111,    2,    0
 22586,121586,19901112,   16,    0
 22586,121586,19901113,   20,    0
 22586,121586,19901114,   20,    0
 22586,121586,19901115,    0,    0
 22586,121586,19901116,    0,    0
 22586,121586,19901117,    0,    0
 22586,121586,19901118,    0,    0
 22586,121586,19901119,    2,    0
 22586,121586,19901120,   16,    0
 22586,121586,19901121,   12,    0
 22586,121586,19901122,    0,    0
 22586,121586,19901123,   14,    0
 22586,121586,19901124,  174,    0
 22586,121586,19901125,   12,    0
 22586,121586,19901126,   82,    0
 22586,121586,19901127,    8,    0
 22586,121586,19901128,    0,    0
 22586,121586,19901129,    0,    0
 22586,121586,19901130,    0,    0
 22586,121586,19901201,    0,    0
 22586,121586,19901202,    0,    0
 22586,121586,19901203,    0,    0
 22586,121586,19901204,    0,    0
 22586,121586,19901205,    0,    0
 22586,121586,19901206,    0,    0
 22586,121586,19901207,    0,    0
 22586,121586,19901208,    2,    0
 22586,121586,19901209,   48,    0
 22586,121586,19901210,   12,    0
 22586,121586,19901211,   12,    0
 22586,121586,19901212,    2,    0
 22586,121586,19901213,    0,    0
 22586,121586,19901214,    0,    0
 22586,121586,19901215,    6,    0
 22586,121586,19901216,    0,    0
 22586,121586,19901217,    0,    0
 22586,121586,19901218,    2,    0
 22586,121586,19901219,    0,    0
 22586,121586,19901220,   66,    0
 22586,121586,19901221,   18,    0
 22586,121586,19901222,    0,    0
 22586,121586,19901223,    0,    0
 22586,121586,19901224,   12,    0
 22586,121586,19901225,  166,    0
 22586,121586,19901226,  104,    0
 22586,121586,19901227,    0,    0
 22586,121586,19901228,   52,    0
 22586,121586,19901229,   16,    0
 22586,121586,19901230,    0,    0
 22586,121586,19901231,   60,    0
 22586,121586,19910101,  124,    0
 22586,121586,19910102,   27,    0
 22586,121586,19910103,   10,    0
 22586,121586,19910104,    0,    0
 22586,121586,19910105,   60,    0
 22586,121586,19910106,    8,    0
 22586,121586,19910107,   46,    0
 22586,121586,19910108,  169,    0
 22586,121586,19910109,  119,    0
 22586,121586,19910110,   91,    0
 22586,121586,19910111,   53,    0
 22586,121586,19910112,    2,    0
 22586,121586,19910113,    0,    0
 22586,121586,19910114,    0,    0
 22586,121586,19910115,    0,    0
 22586,121586,19910116,    0,    0
 22586,121586,19910117,   14,    0
 22586,121586,19910118,  100,    0
 22586,121586,19910119,   22,    0
 22586,121586,19910120,    0,    0
 22586,121586,19910121,    0,    0
 22586,121586,19910122,    2,    0
 22586,121586,19910123,    0,    0
 22586,121586,19910124,    0,    0
 22586,121586,19910125,    0,    0
 22586,121586,19910126,    2,    0
 22586,121586,19910127,    1,    0
 22586,121586,19910128,    0,    0
 22586,121586,19910129,    0,    0
 22586,121586,19910130,    0,    0
 22586,121586,19910131,    0,    0
 22586,121586,19910201,   26,    0
 22586,121586,19910202,    0,    0
 22586,121586,19910203,    0,    0
 22586,121586,19910204,    0,    0
 22586,121586,19910205,    7,    0
 22586,121586,19910206,   29,    0
 22586,121586,19910207,   18,    0
